PageViews,SessionDuration,BounceRate,TrafficSource,TimeOnPage,PreviousVisits,ConversionRate
1,9.24,0.53,Organic,5.42,2,1
4,2.15,0.16,Organic,14.34,5,1
5,7.35,0.22,Organic,9.84,2,1
4,10.31,0.65,Referral,5.32,1,1
3,5.64,0.05,Referral,2.77,1,1
4,1.11,0.29,Organic,2.81,1,1
8,0.66,0.27,Referral,0.37,2,0.9
2,2.38,0.08,Paid,1.59,1,0.6
2,1.81,0.16,Direct,3.08,2,1
2,6.31,0.25,Organic,4.22,4,1
7,0.32,0.23,Referral,18.24,2,1
6,0.89,0.22,Referral,4.77,5,1
7,4.18,0.1,Organic,5.46,3,1
6,0.3,0.5,Direct,1.38,4,1
7,1.16,0.54,Paid,2.25,1,1
6,1.47,0.12,Referral,3.1,1,1
4,2.92,0.17,Organic,0.99,2,1
2,0.52,0.19,Organic,4.68,1,1
3,5.91,0.32,Paid,1.96,3,1
4,1.78,0.27,Organic,1.22,2,1
7,7.47,0.51,Paid,6.36,0,1
4,1.89,0.14,Organic,3.1,0,1
3,0.96,0.49,Referral,4.38,0,1
2,0.46,0.37,Paid,1.24,2,0.8
6,0.01,0.18,Organic,5.9,2,1
3,2.28,0.48,Referral,5.03,1,1
5,0.34,0.31,Paid,3.71,3,1
9,1.49,0.12,Organic,5.79,1,1
6,2.67,0.4,Organic,2.26,2,0.9
6,0.97,0.23,Organic,2.65,1,1
9,0.58,0.65,Organic,2.57,2,1
4,4.47,0.15,Direct,0.79,2,1
9,8.8,0.29,Paid,3,1,1
2,0.32,0.17,Organic,3.49,2,1
10,0.51,0.24,Organic,2.13,0,1
6,9.66,0.05,Organic,3.11,3,1
9,0.12,0.11,Paid,3.28,1,1
4,11.4,0.07,Organic,5.55,3,1
1,0.01,0.31,Paid,5.76,4,1
6,6.21,0.26,Organic,9.08,1,1
8,1.1,0.31,Social,2.27,5,1
6,8.37,0.3,Organic,7.48,0,1
2,1.14,0.38,Paid,6.62,3,1
3,3.19,0.07,Referral,1.12,3,1
5,0.25,0.05,Paid,6.97,2,1
3,0.83,0.28,Social,1.13,1,0.9
3,4.46,0.13,Referral,3.79,0,1
5,2.26,0.17,Paid,7.83,5,1
6,7.89,0.4,Paid,0.42,0,1
5,1.68,0.23,Direct,5.16,0,1
3,6.12,0.39,Referral,1.25,1,1
5,1.79,0.5,Direct,9.23,2,1
3,11.63,0.29,Organic,6.47,1,1
3,9.64,0.57,Paid,0.91,5,1
6,1.2,0.16,Direct,2.4,1,0.9
5,6.51,0.14,Organic,8.23,2,1
6,5.64,0.24,Direct,4.47,3,1
2,0.71,0.16,Organic,5.69,1,1
4,2.94,0.25,Direct,2.64,1,1
7,0.23,0.55,Paid,6.69,1,1
6,5.44,0.1,Organic,10.68,2,1
5,0.58,0.26,Social,1.42,1,1
4,0.22,0.45,Organic,2.52,2,1
3,1.53,0.32,Organic,4.47,2,1
3,2.58,0.19,Organic,3.06,4,1
7,5.79,0.19,Referral,4.4,1,1
7,10.98,0.44,Direct,5.07,3,1
6,1.74,0.2,Organic,3.07,3,1
6,0.19,0.22,Paid,2.18,3,1
7,4.15,0.27,Organic,3.78,3,1
8,2.5,0.3,Referral,1.07,0,1
6,1.78,0.06,Organic,1.99,0,1
3,1.11,0.22,Organic,2.73,2,1
7,2.09,0.05,Organic,3.55,2,1
5,1.24,0.11,Paid,8.77,0,1
5,4.24,0.21,Social,0.67,1,1
7,2.36,0.33,Paid,3.64,0,1
4,6.28,0.29,Organic,5.67,1,1
9,2.35,0.06,Paid,2.93,1,1
4,0.82,0.48,Social,2.25,0,1
5,5.71,0.2,Organic,3.28,1,1
2,2.44,0.33,Organic,2.3,2,1
6,0.7,0.15,Organic,1.49,5,1
3,2.93,0.32,Referral,1.82,0,1
6,1.33,0.51,Paid,1.84,0,0.9
2,5.58,0.28,Paid,14.26,3,1
3,1.81,0.16,Organic,4.1,6,1
5,3.89,0.14,Organic,3.14,2,1
3,0.3,0.23,Direct,1.56,1,1
4,1.51,0.28,Organic,9.79,1,1
5,12.27,0.09,Direct,5.45,1,1
6,4.96,0.18,Paid,5.94,2,1
3,0.52,0.53,Organic,8.9,2,1
3,0.98,0.19,Paid,2.31,1,1
4,1.2,0.03,Direct,9.05,0,1
5,3.15,0.14,Paid,4.38,2,1
4,4.24,0.25,Social,7.28,5,1
2,4.15,0.18,Organic,3.55,4,1
6,2.14,0.4,Paid,2.35,1,1
6,5,0.39,Social,5.88,3,1
8,1.72,0.02,Direct,1.35,2,1
1,0.4,0.25,Paid,5.42,2,1
6,2.49,0.12,Referral,0.21,3,1
2,9.13,0.1,Organic,0.85,1,1
5,4.73,0.59,Organic,1.74,6,1
2,2.59,0.16,Organic,3.02,5,1
6,3.12,0.11,Organic,6.08,2,1
4,8,0.32,Organic,1.93,3,1
3,1.68,0.48,Organic,4.8,2,1
5,1.21,0.09,Direct,3.12,0,1
6,11.35,0.12,Referral,7.01,0,1
3,5.97,0.29,Paid,1.59,1,1
4,1.17,0.63,Direct,2.66,3,1
8,1.87,0.3,Organic,8.02,2,1
4,1.61,0.57,Paid,1.44,2,0.8
10,0.48,0.64,Referral,5.27,4,1
4,9.5,0.33,Organic,0.56,0,1
5,1.55,0.38,Referral,8.51,2,1
10,6.25,0.18,Organic,1.76,0,1
3,0.63,0.42,Organic,1.91,7,1
4,2.38,0.14,Organic,1.05,1,1
7,0.07,0.13,Direct,5,1,1
5,4.33,0.45,Referral,3.83,4,1
10,2.61,0.17,Referral,1.52,3,1
4,2.95,0.31,Paid,3.34,2,1
2,0.16,0.39,Organic,13.34,1,1
3,0.71,0.17,Referral,6.91,1,1
5,0.23,0.1,Paid,7.98,2,1
8,1.02,0.04,Organic,1.86,1,1
4,2.96,0.14,Referral,1.63,3,1
3,2.51,0.65,Organic,0.66,2,1
8,2.84,0.14,Organic,4.3,0,1
6,2.39,0.04,Social,2.73,2,1
8,0.96,0.56,Referral,8.4,2,1
3,0.84,0.12,Referral,8,3,1
3,0.44,0.39,Paid,4.92,1,1
5,5.67,0.05,Organic,1.16,5,1
11,2.88,0.34,Referral,1.07,2,1
7,0.62,0.53,Referral,0.34,1,0.8
4,0.59,0.12,Paid,1.56,2,1
3,6.19,0.1,Direct,1.16,2,1
8,4.07,0.32,Direct,5.17,2,1
8,3.23,0.21,Paid,2.6,1,1
3,1.57,0.39,Social,2.17,1,1
3,0.91,0.49,Paid,3.12,2,1
6,11.65,0.28,Paid,3.52,3,1
2,4.79,0.53,Organic,2.01,4,1
7,1.08,0.44,Paid,2.68,1,1
5,5.64,0.11,Direct,5.54,1,1
5,4.27,0.24,Social,6.25,2,1
6,1.06,0.1,Social,1.14,0,0.9
1,1.67,0.38,Organic,2.92,3,1
10,0.62,0.34,Organic,9.03,4,1
2,0.35,0.24,Organic,9.17,2,1
5,3.85,0.18,Organic,8.43,2,1
4,0.93,0.17,Paid,4.56,4,1
5,5.15,0.15,Organic,2.79,0,1
4,16.28,0.28,Paid,0.41,2,1
5,0.24,0.12,Paid,1.39,1,0.8
6,1.92,0.2,Organic,3.17,1,1
1,4.86,0.13,Organic,5.67,0,1
3,4.67,0.64,Social,4.86,2,1
2,4.28,0.14,Organic,1.08,4,1
5,1.29,0.24,Organic,2.29,2,1
4,1.81,0.17,Social,8.67,2,1
7,2.71,0.38,Direct,2.9,0,1
7,10.94,0.32,Referral,4.91,3,1
2,1.19,0.61,Organic,2.4,1,1
6,7.7,0.31,Organic,0.63,3,1
7,0.94,0.25,Direct,3.96,6,1
2,13.55,0.15,Social,2.8,4,1
7,3.33,0.68,Paid,3,0,0.9
5,1.87,0.27,Organic,3.58,1,1
7,2.85,0.13,Organic,1.5,1,1
6,0.95,0.63,Organic,3.44,2,1
5,0.96,0.46,Referral,1.55,3,1
6,0.36,0.34,Organic,4.93,0,0.9
5,0.36,0.09,Direct,20.02,5,1
4,1.28,0.1,Organic,1.9,0,1
7,4.32,0.34,Referral,8.75,6,1
1,2.81,0.39,Organic,3.17,0,1
8,0.32,0.31,Paid,3.55,2,1
4,5.74,0.55,Organic,2.89,4,1
5,2.76,0.27,Social,1.85,3,1
3,9.72,0.16,Paid,2.24,1,1
7,3.33,0.67,Organic,10.76,3,1
2,0.58,0.16,Social,1.5,3,0.8
5,1.93,0.33,Paid,6.63,2,1
10,3.14,0.36,Direct,2.5,3,1
7,0.09,0.29,Direct,0.52,1,0.8
7,0.05,0.33,Direct,3.41,1,1
10,0.42,0.26,Organic,13.64,2,1
1,0.87,0.12,Organic,5.9,0,1
5,1.68,0.16,Direct,0.21,3,1
3,2.01,0.14,Paid,5.5,1,1
8,0.45,0.17,Organic,2.7,4,1
7,3.36,0.16,Social,1.2,2,1
3,2.72,0.79,Organic,2.4,4,1
1,1.05,0.25,Referral,1.27,1,1
5,0.04,0.13,Social,0.57,0,0.5
3,0.24,0.17,Social,1.72,1,0.5
6,1.49,0.05,Organic,2.05,3,1
3,0.5,0.26,Paid,2,2,1
4,1.42,0.28,Paid,2.35,3,1
5,2.97,0.7,Paid,1.88,2,1
8,2.38,0.23,Organic,3.28,0,1
7,0.79,0.35,Paid,8.62,2,1
5,1.26,0.18,Paid,0.64,1,0.9
4,2.86,0.39,Paid,4.36,1,1
6,5.92,0.44,Social,4.32,2,1
8,4.2,0.06,Paid,1.3,2,1
4,2.42,0.01,Organic,7.36,0,1
3,1.35,0.48,Referral,0.67,3,1
2,1.36,0.36,Social,5.53,1,1
3,6.35,0.08,Organic,3.58,2,1
9,0.12,0.41,Referral,1.24,2,1
5,13.26,0.08,Organic,8.73,2,1
4,3.28,0.32,Organic,0.63,1,1
7,3.43,0.21,Direct,7.59,2,1
8,0.12,0.5,Direct,1.9,4,1
4,2.79,0.41,Paid,2.71,2,1
4,1.99,0.16,Referral,1.17,5,1
8,0.34,0.42,Social,2.04,3,1
5,0.98,0.42,Direct,6.11,2,1
5,6.63,0.45,Paid,4.2,2,1
6,2.4,0.48,Paid,10.21,2,1
7,1.6,0.35,Paid,1.37,5,1
2,0.23,0.04,Organic,2.41,2,1
1,3.76,0.57,Paid,4.44,0,1
7,3.64,0.33,Social,4.45,7,1
5,2.86,0.23,Social,2.58,4,1
4,2.14,0.17,Social,1.05,1,0.9
4,1.71,0.56,Organic,7.81,5,1
3,2.7,0.34,Paid,1.38,0,1
8,0.8,0.79,Organic,1.96,3,1
7,8.5,0.12,Organic,2.6,0,1
1,2.67,0.02,Direct,4.13,4,1
2,1.12,0.3,Paid,1.24,2,1
4,1.79,0.37,Social,2.53,4,1
6,4.91,0.48,Organic,5.84,0,1
4,0.53,0.23,Paid,9.16,1,1
6,1.04,0.23,Referral,1.69,1,1
8,3.41,0.27,Organic,0.59,1,1
7,1.14,0.17,Organic,4.35,2,1
5,4.72,0.39,Organic,0.77,4,1
2,0.42,0.24,Referral,3.94,4,1
1,4.32,0.57,Direct,2.78,0,1
7,0.21,0.12,Social,2.62,2,1
4,0.04,0.19,Direct,1.31,3,1
1,6.85,0.24,Social,10.42,1,1
6,2.61,0.2,Social,2.3,0,1
5,1.3,0.4,Paid,5.42,0,1
8,0.79,0.22,Paid,3.47,0,1
5,2.88,0.16,Paid,4.89,2,1
4,2.13,0.32,Social,8.44,1,1
10,14.34,0.31,Organic,1.31,1,1
7,12.26,0.37,Organic,1.61,1,1
4,3.02,0.43,Direct,2.1,1,0.8
8,1.75,0.65,Organic,8.33,4,1
5,2.03,0.08,Direct,5.73,1,1
5,3.44,0.4,Referral,2.85,1,1
5,0.32,0.09,Organic,2.51,1,1
2,1.19,0.1,Referral,2.18,1,1
3,0.23,0.14,Social,4.31,3,1
4,0.23,0.03,Organic,8.05,2,1
9,0.65,0.21,Social,4.56,2,1
0,1.99,0.36,Social,3.3,3,1
5,4.61,0.09,Organic,5.06,2,1
5,1.99,0.51,Organic,1.89,1,1
5,1.23,0.12,Organic,9.07,3,1
5,0.26,0.02,Organic,9.06,0,1
4,2.4,0.08,Organic,3.15,4,1
9,0.95,0.09,Referral,1.75,3,1
6,2.86,0.46,Organic,1.75,3,1
2,11.34,0.39,Social,2.46,1,1
6,0.35,0.23,Organic,4.06,2,1
6,0.72,0.33,Paid,0.51,4,1
6,1.92,0.47,Referral,2.77,3,1
5,10.38,0.31,Social,5.95,1,1
2,4.43,0.29,Paid,2.34,0,1
5,6.86,0.46,Organic,1.57,1,1
3,1.22,0.13,Social,3.83,0,1
3,14.5,0.07,Organic,2.82,5,1
3,0.33,0.28,Organic,5.04,2,1
6,0.16,0.25,Paid,1.07,2,0.8
6,5.81,0.12,Social,3.92,2,1
4,7.86,0.42,Organic,8.05,0,1
5,0.28,0.19,Paid,4.04,1,0.9
5,0.36,0.17,Paid,1.72,0,0.8
7,0.1,0.34,Direct,0.26,2,1
5,0.33,0.18,Organic,1.43,5,1
3,0.7,0.04,Organic,2.57,1,1
4,10.53,0.31,Paid,0.64,1,1
7,3.31,0.16,Organic,3.04,3,1
5,4.52,0.29,Referral,2.53,1,1
7,4.49,0.2,Referral,1.12,1,1
8,2.3,0.23,Social,4.68,1,1
7,4.79,0.17,Social,5.45,2,1
5,2.72,0.4,Direct,9.59,3,1
8,1.13,0.05,Paid,2.64,2,1
4,2.47,0.11,Direct,1,2,1
6,2.29,0.18,Organic,1.2,3,1
8,5.2,0.29,Referral,7.35,2,1
6,12.01,0.14,Paid,3.46,2,1
3,1.59,0.27,Social,2.82,4,1
8,4.32,0.24,Paid,6.48,1,1
4,0.32,0.44,Social,1.82,3,1
7,4.5,0.39,Direct,8.41,4,1
2,1.39,0.44,Referral,2.05,2,0.6
10,0.12,0.11,Social,6.03,3,1
6,1.35,0.12,Organic,3.34,2,1
4,2.83,0.33,Organic,3.64,2,1
5,0.38,0.08,Direct,2.62,3,1
6,7.73,0.13,Referral,8.34,3,1
4,0.24,0.18,Paid,1.59,4,1
5,7.98,0.16,Organic,6.76,2,1
6,3.68,0.47,Organic,1.32,1,1
3,1.2,0.31,Organic,0.49,3,1
7,1.49,0.12,Paid,4.58,1,1
7,4.05,0.6,Organic,2.99,1,1
8,2.76,0.31,Organic,3.22,1,1
4,3.34,0.1,Paid,0.82,3,1
7,1.48,0.13,Paid,2.99,2,1
3,2.01,0.48,Organic,1.91,1,1
4,13.78,0.31,Paid,11.03,0,1
4,0.72,0.26,Direct,5.07,0,1
0,1.62,0.17,Paid,3.4,2,1
1,1.04,0.43,Social,6.17,1,1
1,4.35,0.05,Direct,2.45,2,1
7,4.33,0.1,Organic,3.53,2,1
5,1.04,0.15,Organic,2.39,1,1
5,0.25,0.1,Paid,1.98,5,1
8,0.03,0.32,Paid,4.02,0,1
3,1.67,0.46,Paid,6.14,4,1
5,1.58,0.6,Organic,3.13,3,1
3,13.37,0.1,Referral,1.54,3,1
5,1.9,0.31,Organic,2.69,0,1
1,0.89,0.25,Direct,1.93,5,1
7,6.66,0.31,Organic,2.41,2,1
2,2.03,0.41,Direct,2.05,0,0.8
4,2.74,0.21,Organic,5.14,1,1
6,0.3,0.57,Organic,12.8,4,1
7,1.45,0.47,Organic,2.33,2,1
9,8.66,0.28,Direct,3.38,5,1
4,2.67,0.34,Organic,2.06,5,1
1,1.27,0.08,Referral,1.75,2,1
4,2.95,0.08,Social,2.07,2,1
6,7.24,0.09,Referral,0.31,2,1
3,0.96,0.29,Organic,5.07,3,1
4,2.11,0.38,Direct,0.93,2,1
2,9.56,0.07,Social,4.44,0,1
6,0.57,0.23,Paid,3.21,1,1
8,3.82,0.09,Paid,2.92,2,1
7,2.86,0.27,Direct,5.22,2,1
2,3.42,0.21,Direct,4.22,1,1
6,1.3,0.32,Paid,5,5,1
9,1.13,0.33,Social,4.91,0,1
3,3.46,0.37,Organic,4.88,2,1
8,0.73,0.2,Organic,3.7,1,1
7,1.63,0.43,Organic,8.96,2,1
6,0.63,0.11,Organic,3.63,1,1
10,0.03,0.21,Referral,11.82,3,1
5,10.53,0.2,Paid,1.8,3,1
5,1.7,0.25,Organic,1.2,0,1
5,10.46,0.16,Paid,5.25,1,1
5,0.45,0.78,Organic,0.33,1,0.5
4,2.66,0.22,Direct,5.61,2,1
10,0.67,0.08,Social,0.74,7,1
3,4.68,0.15,Organic,2.96,2,1
2,4.59,0.15,Direct,5.59,3,1
6,0.36,0.24,Organic,0.83,3,0.7
4,7.29,0.2,Referral,2.71,1,1
4,0.65,0.15,Direct,5.93,0,1
8,2.85,0.56,Organic,0.37,1,1
5,12.73,0.16,Referral,3.75,1,1
4,6.42,0.33,Organic,2.06,1,1
7,9.41,0.3,Organic,7.44,1,1
4,1.26,0.32,Paid,2.35,5,1
2,0.33,0.22,Direct,12.96,5,1
2,0.63,0.23,Paid,3.38,2,1
3,2.08,0.47,Direct,3.07,3,1
3,4.73,0.18,Direct,1.93,3,1
8,0.49,0.29,Organic,2.43,2,1
6,3.23,0.29,Paid,5.34,0,1
0,1.17,0.35,Referral,2.6,2,0.9
8,1.25,0.55,Paid,1.86,2,1
5,3.25,0.12,Organic,0.91,2,1
4,1.89,0.32,Direct,2.23,2,1
5,5.01,0.29,Social,5.13,3,1
7,0.51,0.54,Paid,1.83,2,1
6,4.68,0.34,Referral,16.32,3,1
3,0.2,0.28,Organic,8.34,1,1
4,0.65,0.41,Paid,0.36,2,0.9
2,3.2,0.2,Direct,2.53,5,1
4,5.79,0.3,Social,2.14,0,1
1,0.87,0.22,Organic,0.56,1,0.8
9,1.19,0.5,Paid,2.21,3,1
3,2.31,0.1,Referral,2.2,1,1
1,0.71,0.36,Organic,5.52,2,0.8
5,5,0.51,Organic,6.46,3,1
4,4.46,0.26,Paid,5.63,1,1
6,0.47,0.38,Referral,8.17,2,1
5,1.87,0.05,Organic,3.34,5,1
8,4.47,0.41,Organic,3.33,3,1
5,1.23,0.46,Organic,5.27,1,1
7,3.01,0.25,Organic,2.23,3,1
4,0.15,0.26,Paid,3.86,4,1
1,2.81,0.29,Organic,3.72,3,1
5,0.5,0.15,Organic,4.3,2,1
4,5.33,0.14,Social,6.73,4,1
3,1.32,0.45,Organic,1.63,3,0.9
2,0.99,0.21,Paid,1.68,0,0.9
12,5.51,0.28,Direct,12.08,2,1
5,0.15,0.02,Referral,1.64,1,1
10,1.52,0.2,Referral,2.32,3,1
6,1.39,0.04,Paid,4.61,1,1
1,1.01,0.2,Organic,0.43,1,0.5
6,7.28,0.2,Referral,2.06,1,1
2,4.17,0.28,Referral,1.16,0,1
4,0.2,0.16,Organic,0.89,0,0.7
5,3.76,0.56,Paid,6.64,2,1
8,2.25,0.15,Direct,5.65,3,1
4,6.93,0.13,Organic,1.41,1,1
2,1.13,0.47,Paid,6.85,3,1
1,2.56,0.28,Paid,7.18,3,1
8,2.08,0.74,Social,8.17,1,1
8,2.02,0.17,Social,7.29,3,1
4,1.83,0.16,Social,3.93,1,1
1,0.69,0.05,Organic,2.28,2,1
9,4.23,0.22,Organic,5.61,3,1
4,1.8,0.27,Organic,2.44,1,1
2,9.55,0.06,Referral,4.07,6,1
4,0.91,0.31,Referral,2.2,5,1
3,3.44,0.18,Direct,3.07,2,1
8,8.48,0.21,Paid,1.12,1,1
9,3.27,0.25,Referral,5.36,1,1
4,6.15,0.28,Paid,4.26,1,1
4,5.27,0.11,Organic,0.79,0,1
5,1.34,0.19,Paid,2.46,2,1
11,2.75,0.28,Paid,6.1,1,1
8,0.51,0.38,Direct,1.41,1,0.9
6,2.3,0.3,Organic,1.45,3,1
2,0.79,0.23,Direct,2.68,1,1
8,4.08,0.13,Paid,1.84,4,1
7,2.25,0.58,Organic,9.13,2,1
6,1.59,0.67,Organic,1.83,1,1
5,0.94,0.12,Organic,2.07,0,0.9
3,19.93,0.25,Paid,0.19,2,1
5,0.22,0.67,Organic,2.61,0,0.9
3,0.13,0.19,Paid,5.56,2,1
3,0.73,0.35,Direct,5.22,1,1
7,10.63,0.34,Referral,5.4,0,1
4,11.62,0.32,Social,4.94,1,1
4,3.19,0.57,Organic,10.28,1,1
6,6.36,0.28,Paid,4,2,1
6,0.72,0.23,Organic,2.03,2,1
3,10.73,0.29,Social,2.15,0,1
4,0.46,0.23,Organic,2.52,1,1
6,0.32,0.4,Paid,1.68,4,1
6,0.36,0.1,Paid,4.29,1,1
6,2.55,0.17,Paid,5.8,0,1
6,4.56,0.25,Social,2.26,2,1
3,1.37,0.36,Organic,7.04,3,1
5,11.44,0.19,Organic,1.09,5,1
2,1.71,0.38,Social,0.43,3,1
5,0.49,0.22,Paid,2.19,2,1
3,1.88,0.69,Paid,0.49,4,1
3,3.41,0.31,Organic,1.53,0,0.7
5,5.36,0.59,Social,3.65,0,1
11,1.84,0.35,Direct,0.71,0,1
7,2.7,0.11,Referral,3.41,1,1
7,0.93,0.11,Social,1.88,0,1
4,3.11,0.24,Paid,4.91,4,1
1,12.8,0.44,Organic,0.85,2,1
4,0.15,0.18,Organic,1.88,4,1
5,6.53,0.07,Referral,1.64,4,1
4,2.48,0.61,Paid,3.66,0,1
4,0.87,0.1,Social,2.05,1,0.8
7,9.3,0.26,Referral,4.82,1,1
6,1.98,0.25,Direct,3.73,3,1
8,1.21,0.05,Paid,3.1,1,1
4,0.6,0.36,Paid,2.57,3,1
3,0.84,0.16,Organic,9.55,2,1
0,5.37,0.1,Paid,3.39,2,1
4,2.86,0.68,Social,4.18,1,0.9
1,7.33,0.47,Organic,4.12,0,1
4,0.79,0.25,Direct,2.06,1,0.7
3,0.39,0.62,Direct,0.42,1,0.7
5,0.02,0.09,Paid,9.03,1,1
6,2.13,0.21,Organic,2.3,7,1
6,19.14,0.3,Organic,4.03,2,1
4,3.56,0.43,Organic,9.4,3,1
4,1.11,0.32,Organic,2.13,4,0.9
5,6.28,0.21,Paid,2.7,2,1
1,4.57,0.07,Organic,7.33,1,1
9,0.05,0.27,Referral,1.95,0,1
7,5.09,0.14,Organic,1.19,2,1
5,1.07,0.1,Organic,0.66,2,1
4,0.49,0.3,Paid,15.28,2,1
5,0.77,0.26,Direct,8.68,6,1
4,1.9,0.18,Referral,0.22,1,1
1,1.66,0.56,Paid,5.42,4,1
3,1.02,0.32,Social,9.18,2,1
7,0.57,0.09,Referral,3.1,0,1
6,4.31,0.21,Social,2.38,4,1
10,13.85,0.59,Organic,2.52,2,1
4,4.51,0.44,Social,8.29,2,1
5,1.05,0.73,Organic,1.57,3,0.8
6,0.84,0.31,Direct,1.6,1,1
6,0.74,0.32,Organic,1.58,0,0.9
8,0.44,0.2,Direct,0.13,0,0.7
4,2.4,0.38,Direct,2.45,4,1
3,2.79,0.14,Organic,7.52,3,1
3,3.67,0.06,Direct,4.52,1,1
9,3.42,0.38,Organic,4.97,0,1
7,1.04,0.53,Organic,4.09,0,1
2,1.2,0.13,Paid,2.76,1,1
2,3.43,0.17,Direct,2.87,0,1
4,1.29,0.32,Paid,4.17,2,1
6,0.72,0.61,Paid,2.17,1,1
9,1.41,0.04,Referral,1.47,3,1
11,0.95,0.09,Direct,2.35,3,1
4,0.28,0.36,Social,1.01,0,0.9
7,5.32,0.33,Organic,1.68,3,1
7,5.75,0.03,Organic,6.64,2,1
3,0.74,0.34,Organic,2.72,2,1
7,0.2,0.22,Referral,4.06,2,1
5,4.03,0.14,Organic,4.54,5,1
2,0.71,0.09,Organic,3.32,4,1
9,1.5,0.2,Social,5.94,2,1
6,0.2,0.31,Organic,1.94,5,1
3,0.77,0.29,Paid,4.19,1,1
6,4.72,0.44,Organic,1.32,1,1
3,4.89,0.16,Organic,0.23,2,1
2,0.7,0.28,Organic,1.85,2,1
8,1.23,0.59,Paid,2.86,0,0.9
4,0.43,0.08,Social,1.4,2,0.3
5,0.23,0.26,Organic,9.03,1,1
4,14.55,0.24,Organic,2.96,2,1
3,3.2,0.25,Social,5.1,0,1
4,2.34,0.15,Social,7.75,3,1
3,4.35,0.23,Social,3.36,3,1
11,5.5,0.54,Direct,1.94,2,1
6,4.93,0.41,Social,1.18,0,1
5,0.05,0.59,Paid,0.68,1,0.9
5,0.62,0.44,Social,5.45,3,1
5,3.19,0.25,Paid,5.88,1,1
3,1.41,0.26,Organic,7.98,4,1
6,12.13,0.54,Organic,7.04,1,1
4,3.28,0.13,Organic,9.7,1,1
5,9.41,0.2,Organic,5.91,2,1
3,0.67,0.33,Organic,3.79,2,1
7,5.98,0.22,Organic,2.26,2,1
3,1.16,0.28,Social,3.03,3,0.9
6,13.69,0.19,Direct,3.32,3,1
7,0.51,0.23,Paid,8.78,2,1
1,2.18,0.1,Social,7.2,2,1
6,4.72,0.22,Organic,1.62,1,1
4,1.7,0.28,Direct,4.22,1,1
2,1.89,0.22,Paid,5.19,1,1
2,12.88,0.14,Organic,4.8,0,1
5,1.66,0.24,Organic,2.43,2,1
5,2.78,0.16,Organic,3.2,3,1
3,0.17,0.12,Organic,6.41,3,1
5,5.54,0.38,Organic,2.56,4,1
11,3.13,0.08,Organic,1.39,4,1
2,1.55,0.2,Organic,5.12,1,1
6,0.05,0.29,Organic,3.02,6,1
5,2.69,0.35,Direct,6.9,3,1
3,0.04,0.68,Organic,3.41,1,0.7
4,0,0.34,Organic,0.1,2,0.7
10,2.87,0.08,Referral,4.04,4,1
1,0.63,0.37,Social,4.39,2,1
8,0.64,0.45,Organic,7.17,2,1
3,3.18,0.27,Social,1.75,1,1
